Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
UK202,Dubai,Mumbai,Vistara,A21N,I,DXB,BOM
UK21,Delhi,Paris,Vistara,B789,I,DEL,CDG
UK233,Mumbai,Muscat,Vistara,A20N,I,BOM,MCT
UK234,Muscat,Mumbai,Vistara,A20N,I,MCT,BOM
UK235,Mumbai,Jeddah,Vistara,A20N,I,BOM,JED
UK236,Jeddah,Mumbai,Vistara,A20N,I,JED,BOM
UK237,Mumbai,Dammam,Vistara,A20N,I,BOM,DMM
UK238,Dammam,Mumbai,Vistara,A20N,I,DMM,BOM
UK24,Paris,Mumbai,Vistara,B789,I,CDG,BOM
UK241,Mumbai,Port Louis,Vistara,A21N,I,BOM,MRU
UK242,Port Louis,Mumbai,Vistara,A21N,I,MRU,BOM
UK25,Delhi,Frankfurt,Vistara,B789,I,DEL,FRA
UK255,Mumbai,Abu Dhabi,Vistara,A21N,I,BOM,AUH
