Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
S5212,Hyderabad,Shivamogga,Star Air,E75L,D,HYD,RQY
S5213,Shivamogga,Hyderabad,Star Air,ERJ,D,RQY,HYD
SC2475,Chengdu,Delhi,Shandong Airlines,73F,I,TFU,DEL
SC2476,Delhi,Chengdu,Shandong Airlines,73F,I,DEL,TFU
SG105,Delhi,Chennai,Corendon Airlines,B738,D,DEL,MAA
SG106,Chennai,Delhi,Corendon Airlines,B738,D,MAA,DEL
SG1077,Jaipur,Pune,SpiceJet,DH8D,D,JAI,PNQ
SG1078,Pune,Jaipur,SpiceJet,DH8D,D,PNQ,JAI
SG1079,Pune,Bhavnagar,SpiceJet,DH8D,D,PNQ,BHU
SG1080,Bhavnagar,Pune,SpiceJet,DH8D,D,BHU,PNQ
SG1081,Bhavnagar,Mumbai,SpiceJet,DH8D,D,BHU,BOM
SG1082,Mumbai,Bhavnagar,SpiceJet,DH8D,D,BOM,BHU
SG11,Delhi,Dubai,Corendon Airlines,B738,I,DEL,DXB
SG115,Mumbai,Darbhanga,SpiceJet,B38M,D,BOM,DBR
SG116,Darbhanga,Mumbai,SpiceJet,B38M,D,DBR,BOM
SG12,Dubai,Delhi,Corendon Airlines,B738,I,DXB,DEL
SG121,Delhi,Leh,SpiceJet,B737,D,DEL,IXL
SG122,Leh,Delhi,SpiceJet,B737,D,IXL,DEL
SG123,Delhi,Leh,SpiceJet,B737,D,DEL,IXL
SG124,Leh,Delhi,SpiceJet,B737,D,IXL,DEL
SG126,Leh,Delhi,SpiceJet,B737,D,IXL,DEL
SG13,Mumbai,Dubai,SpiceJet,B38M,I,BOM,DXB
SG14,Dubai,Mumbai,SpiceJet,B38M,I,DXB,BOM
SG15,Ahmedabad,Dubai,SpiceJet,A320,I,AMD,DXB
SG16,Dubai,Ahmedabad,SpiceJet,A320,I,DXB,AMD
SG160,Hyderabad,Delhi,SpiceJet,B738,D,HYD,DEL
SG160,Delhi,Jammu,SpiceJet,B738,D,DEL,IXJ
SG161,Jammu,Delhi,SpiceJet,B738,D,IXJ,DEL
SG161,Delhi,Hyderabad,SpiceJet,B738,D,DEL,HYD
SG163,Mumbai,Siliguri,SpiceJet,B738,D,BOM,IXB
SG168,Siliguri,Mumbai,SpiceJet,B738,D,IXB,BOM
SG17,Dubai,Cochin,Corendon Airlines,B38M,I,DXB,COK
SG18,Cochin,Dubai,Corendon Airlines,B38M,I,COK,DXB
SG184,Goa,Pune,SpiceJet,B738,D,GOX,PNQ
SG184,Pune,Delhi,SpiceJet,B738,D,PNQ,DEL
SG185,Delhi,Pune,SpiceJet,B738,D,DEL,PNQ
SG185,Pune,Goa,SpiceJet,B738,D,PNQ,GOX
SG2131,Hyderabad,Shirdi,SpiceJet,DH8D,D,HYD,SAG
SG2131,Shirdi,Bengaluru,SpiceJet,DH8D,D,SAG,BLR
SG2138,Bengaluru,Shirdi,SpiceJet,DH8D,D,BLR,SAG
SG2138,Shirdi,Hyderabad,SpiceJet,DH8D,D,SAG,HYD
SG2347,Delhi,Kandla,SpiceJet,DH8,D,DEL,IXY
SG2348,Kandla,Delhi,SpiceJet,DH8,D,IXY,DEL
SG2448,Delhi,Shillong,SpiceJet,DH8D,D,DEL,SHL
SG2449,Shillong,Delhi,SpiceJet,DH8D,D,SHL,DEL
SG251,Delhi,Kolkata,SpiceJet,B738,D,DEL,CCU
SG2696,Hyderabad,Tirupati,SpiceJet,DH8D,D,HYD,TIR
SG2700,Hyderabad,Madurai,SpiceJet,DH8D,D,HYD,IXM
SG2701,Madurai,Hyderabad,SpiceJet,DH8D,D,IXM,HYD
SG2702,Hyderabad,Tirupati,SpiceJet,DH8D,D,HYD,TIR
SG2703,Tirupati,Hyderabad,SpiceJet,DH8D,D,TIR,HYD
SG2704,Hyderabad,Goa,SpiceJet,DH8D,D,HYD,GOX
SG2705,Goa,Hyderabad,SpiceJet,DH8D,D,GOX,HYD
SG2812,Tirupati,Hyderabad,SpiceJet,DH8D,D,TIR,HYD
SG2905,Mumbai,Kandla,SpiceJet,DH8D,D,BOM,IXY
SG2906,Kandla,Mumbai,SpiceJet,DH8D,D,IXY,BOM
SG2917,Hyderabad,Tirupati,SpiceJet,DH8D,D,HYD,TIR
SG2918,Tirupati,Hyderabad,SpiceJet,DH8D,D,TIR,HYD
SG2937,Delhi,Dharamsala,SpiceJet,DH8D,D,DEL,DHM
SG2938,Dharamsala,Delhi,SpiceJet,DH8D,D,DHM,DEL
SG2939,Delhi,Dharamsala,SpiceJet,DH8D,D,DEL,DHM
SG2940,Dharamsala,Delhi,SpiceJet,DH8D,D,DHM,DEL
SG2950,Delhi,Dharamsala,SpiceJet,DH8D,D,DEL,DHM
SG2951,Dharamsala,Delhi,SpiceJet,DH8D,D,DHM,DEL
SG2966,Kolkata,Pakyong,SpiceJet,DH8,D,CCU,PYG
SG2967,Pakyong,Kolkata,SpiceJet,DH8,D,PYG,CCU
SG2989,Delhi,Varanasi,SpiceJet,DH8D,D,DEL,VNS
SG2990,Varanasi,Delhi,SpiceJet,DH8D,D,VNS,DEL
SG322,Chennai,Ayodhya,Corendon Airlines,B738,D,MAA,AYJ
SG323,Ayodhya,Chennai,Corendon Airlines,B738,D,AYJ,MAA
SG324,Ayodhya,Mumbai,Corendon Airlines,B738,D,AYJ,BOM
SG325,Mumbai,Ayodhya,Corendon Airlines,B738,D,BOM,AYJ
SG3651,Kolkata,Guwahati,SpiceJet,DH8D,D,CCU,GAU
SG3652,Guwahati,Kolkata,SpiceJet,DH8D,D,GAU,CCU
SG3779,Kolkata,Tezpur,SpiceJet,DH8D,D,CCU,TEZ
SG3780,Tezpur,Kolkata,SpiceJet,DH8D,D,TEZ,CCU
SG3781,Kolkata,Siliguri,SpiceJet,DH8,D,CCU,IXB
SG3782,Siliguri,Kolkata,SpiceJet,DH8,D,IXB,CCU
SG3798,Kolkata,Shillong,SpiceJet,DH8,D,CCU,SHL
SG3799,Shillong,Kolkata,SpiceJet,DH8,D,SHL,CCU
SG38,Jeddah,Mumbai,SpiceJet,B38M,I,JED,BOM
SG471,Delhi,Ayodhya,SpiceJet,B737,D,DEL,AYJ
SG472,Ayodhya,Delhi,SpiceJet,B737,D,AYJ,DEL
SG475,Srinagar,Delhi,SpiceJet ,B739,D,SXR,DEL
SG476,Delhi,Darbhanga,SpiceJet ,B38M,D,DEL,DBR
SG491,Ahmedabad,Goa,SpiceJet,A320,D,AMD,GOX
SG492,Goa,Ahmedabad,SpiceJet,A320,D,GOX,AMD
SG495,Delhi,Darbhanga,SpiceJet,B737,D,DEL,DBR
SG498,Mumbai,Goa,SpiceJet,B738,D,BOM,GOX
SG499,Goa,Mumbai,SpiceJet,B738,D,GOX,BOM
SG5,Delhi,Dubai,SpiceJet,73H,I,DEL,DXB
SG509,Mumbai,Srinagar,SpiceJet,B38M,D,BOM,SXR
SG51,Muscat,Pune,SpiceJet ,B38M,I,MCT,PNQ
SG51,Pune,Dubai,SpiceJet ,B38M,I,PNQ,DXB
SG510,Srinagar,Mumbai,SpiceJet,B38M,D,SXR,BOM
SG511,Ahmedabad,Ayodhya,SpiceJet,A320,D,AMD,AYJ
SG512,Ayodhya,Ahmedabad,SpiceJet,A320,D,AYJ,AMD
SG515,Kolkata,Mumbai,SpiceJet,B38M,D,CCU,BOM
SG516,Mumbai,Kolkata,SpiceJet,B38M,D,BOM,CCU
SG52,Dubai,Pune,SpiceJet ,B38M,I,DXB,PNQ
SG529,Bengaluru,Delhi,SpiceJet,B738,D,BLR,DEL
SG531,Bengaluru,Patna,SpiceJet,B738,D,BLR,PAT
SG532,Patna,Bengaluru,SpiceJet,B738,D,PAT,BLR
SG59,Mumbai,Dubai,Corendon Airlines,B38M,I,BOM,DXB
SG6,Dubai,Delhi,SpiceJet,73H,I,DXB,DEL
SG60,Dubai,Mumbai,Corendon Airlines,B38M,I,DXB,BOM
SG611,Ahmedabad,Chennai,SpiceJet,A320,D,AMD,MAA
SG611,Chennai,Hyderabad,SpiceJet,A320,D,MAA,HYD
SG611,Hyderabad,Varanasi,SpiceJet,A320,D,HYD,VNS
SG616,Varanasi,Hyderabad,SpiceJet,A320,D,VNS,HYD
SG616,Hyderabad,Chennai,SpiceJet,A320,D,HYD,MAA
SG616,Chennai,Ahmedabad,SpiceJet,A320,D,MAA,AMD
SG680,Port Blair,Chennai,SpiceJet,B38M,D,IXZ,MAA
SG7003,Delhi,Mumbai,SpiceXpress,B737,D,DEL,BOM
SG7012,Mumbai,Ra'sal-Khaymah,SpiceXpress,B737,I,BOM,RKT
SG709,Delhi,Mumbai,SpiceJet,B737,D,DEL,BOM
SG710,Mumbai,Delhi,SpiceJet,B737,D,BOM,DEL
SG7662,Guiyang,Kolkata,SpiceXpress,B737,I,KWE,CCU
SG7662,Kolkata,Delhi,SpiceXpress,B737,D,CCU,DEL
SG8125,Delhi,Leh,SpiceJet,B737,D,DEL,IXL
SG8150,Delhi,Srinagar,SpiceJet ,B739,D,DEL,SXR
SG8151,Srinagar,Delhi,SpiceJet ,B739,D,SXR,DEL
SG8151,Delhi,Bengaluru,SpiceJet ,B739,D,DEL,BLR
SG8152,Delhi,Guwahati,SpiceJet,B738,D,DEL,GAU
SG8157,Delhi,Mumbai,SpiceJet,B38M,D,DEL,BOM
SG8158,Mumbai,Delhi,SpiceJet,B38M,D,BOM,DEL
SG8169,Guwahati,Delhi,SpiceJet,B738,D,GAU,DEL
SG8171,Delhi,Goa,SpiceJet,B738,D,DEL,GOX
SG8172,Goa,Delhi,SpiceJet,B738,D,GOX,DEL
SG8187,Ahmedabad,Siliguri,SpiceJet ,B738,D,AMD,IXB
SG8193,Delhi,Ahmedabad,SpiceJet ,B738,D,DEL,AMD
SG8194,Ahmedabad,Delhi,SpiceJet ,B738,D,AMD,DEL
SG8199,Siliguri,Delhi,SpiceJet ,B738,D,IXB,DEL
SG8252,Mumbai,Delhi,SpiceJet,B738,D,BOM,DEL
SG8269,Delhi,Mumbai,SpiceJet,B738,D,DEL,BOM
SG83,Kolkata,Bangkok,SpiceJet,B38M,I,CCU,BKK
SG8373,Kolkata,Delhi,SpiceJet,B738,D,CCU,DEL
SG8373,Delhi,Srinagar,SpiceJet,B738,D,DEL,SXR
SG8374,Srinagar,Delhi,SpiceJet,B738,D,SXR,DEL
SG8385,Mumbai,Srinagar,SpiceJet,B38M,D,BOM,SXR
SG8386,Srinagar,Mumbai,SpiceJet,B38M,D,SXR,BOM
SG84,Bangkok,Kolkata,SpiceJet,B38M,I,BKK,CCU
SG8471,Delhi,Patna,SpiceJet,B737,D,DEL,PAT
SG8472,Patna,Delhi,SpiceJet,B737,D,PAT,DEL
SG8473,Delhi,Srinagar,SpiceJet ,B739,D,DEL,SXR
SG8477,Darbhanga,Delhi,SpiceJet ,B38M,D,DBR,DEL
SG8494,Srinagar,Delhi,SpiceJet,B738,D,SXR,DEL
SG8496,Darbhanga,Delhi,SpiceJet,B737,D,DBR,DEL
SG8536,Delhi,Bengaluru,SpiceJet,B738,D,DEL,BLR
SG8537,Bengaluru,Delhi,SpiceJet ,B739,D,BLR,DEL
SG8681,Chennai,Port Blair,SpiceJet,B38M,D,MAA,IXZ
SG869,Kolkata,Port Blair,SpiceJet,B38M,D,CCU,IXZ
SG87,Delhi,Bangkok,SpiceJet,B38M,I,DEL,BKK
SG873,Port Blair,Kolkata,SpiceJet,B38M,D,IXZ,CCU
SG88,Bangkok,Delhi,SpiceJet,B38M,I,BKK,DEL
SG8841,Delhi,Siliguri,SpiceJet,B38M,D,DEL,IXB
SG8842,Siliguri,Delhi,SpiceJet,B38M,D,IXB,DEL
SG8895,Bengaluru,Siliguri,SpiceJet,B738,D,BLR,IXB
SG8896,Siliguri,Bengaluru,SpiceJet,B738,D,IXB,BLR
SG8903,Delhi,Siliguri,SpiceJet ,B738,D,DEL,IXB
SG8904,Siliguri,Ahmedabad,SpiceJet ,B738,D,IXB,AMD
SG8913,Delhi,Srinagar,SpiceJet,B38M,D,DEL,SXR
SG8914,Srinagar,Delhi,SpiceJet,B38M,D,SXR,DEL
SG8938,Delhi,Pune,SpiceJet ,B38M,D,DEL,PNQ
SG8946,Delhi,Shirdi,SpiceJet,B738,D,DEL,SAG
SG8946,Shirdi,Chennai,SpiceJet,B738,D,SAG,MAA
SG8947,Chennai,Shirdi,SpiceJet,B738,D,MAA,SAG
SG8947,Shirdi,Delhi,SpiceJet,B738,D,SAG,DEL
SG8949,Delhi,Srinagar,SpiceJet,B738,D,DEL,SXR
SG8961,Srinagar,Delhi,SpiceJet ,B739,D,SXR,DEL
SG9035,Delhi,Mumbai,SpiceJet,B738,D,DEL,BOM
SG937,Delhi,Srinagar,SpiceJet ,B739,D,DEL,SXR
SG937,Pune,Delhi,SpiceJet ,B38M,D,PNQ,DEL
SG944,Mumbai,Srinagar,SpiceJet,B738,D,BOM,SXR
SG945,Srinagar,Mumbai,SpiceJet,B738,D,SXR,BOM
SG947,Hyderabad,Pune,SpiceJet,B738,D,HYD,PNQ
SG948,Pune,Hyderabad,SpiceJet,B738,D,PNQ,HYD
SL210,Bangkok,Cochin,Thai Lion Air,B738,I,DMK,COK
SL211,Cochin,Bangkok,Thai Lion Air,B738,I,COK,DMK
SL216,Bangkok,Bengaluru,Thai Lion Air,B738,I,DMK,BLR
SL218,Bangkok,Mumbai,Thai Lion Air,B738,I,DMK,BOM
